OTU	Sample	Abundance	Kingdom	Phylum	Class
Otu02735	PNC3	0.0150937023910933	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	PNC1	0.0107596114272169	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	PNC2	0.00835238926784657	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	VC3	0.000984153451845515	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu00001	PNC2	22.5808475117229	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	PNC3	14.8968777726366	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	VC1	9.36025239491319	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	PNC1	8.40630686874258	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	VC3	4.98665655597803	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	VC2	2.47537231704311	Bacteria	Actinobacteria	Acidimicrobiia
Otu00200	VC2	3.00498386953798	Bacteria	Acidobacteria	Acidobacteria
Otu00200	PNC2	0.883179374035335	Bacteria	Acidobacteria	Acidobacteria
Otu00200	VC3	0.772577337694644	Bacteria	Acidobacteria	Acidobacteria
Otu00200	PNC3	0.667403115665297	Bacteria	Acidobacteria	Acidobacteria
Otu00200	PNC1	0.60636041526072	Bacteria	Acidobacteria	Acidobacteria
Otu00200	VC1	0.504357499435205	Bacteria	Acidobacteria	Acidobacteria
Otu00026	VC1	3.970177700991	Bacteria	Actinobacteria	Actinobacteria
Otu00026	VC3	3.74828048686193	Bacteria	Actinobacteria	Actinobacteria
Otu00026	VC2	3.13401516854897	Bacteria	Actinobacteria	Actinobacteria
Otu00026	PNC2	2.50235942483716	Bacteria	Actinobacteria	Actinobacteria
Otu00026	PNC3	1.48713875006199	Bacteria	Actinobacteria	Actinobacteria
Otu00026	PNC1	1.2246149495387	Bacteria	Actinobacteria	Actinobacteria
Otu00033	VC1	1.408781585932	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	PNC3	1.13144229879158	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	PNC2	1.03285950675559	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	PNC1	0.821821114154072	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC3	0.29719541192149	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC2	0.133081524139513	Bacteria	Actinobacteria	Actinobacteria_unclassified
Otu00002	PNC2	19.3966488665711	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00002	PNC1	15.9640530456546	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00002	PNC3	15.4064642987106	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00002	VC2	12.7934554898819	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00002	VC1	12.5877105630195	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00002	VC3	8.36172607262392	Bacteria	Proteobacteria	Alphaproteobacteria
Otu00021	VC2	8.53587923975339	Bacteria	Chloroflexi	Anaerolineae
Otu00021	VC3	5.97187582034771	Bacteria	Chloroflexi	Anaerolineae
Otu00021	VC1	3.76242164313583	Bacteria	Chloroflexi	Anaerolineae
Otu00021	PNC1	2.30123926589108	Bacteria	Chloroflexi	Anaerolineae
Otu00021	PNC3	0.928680263353078	Bacteria	Chloroflexi	Anaerolineae
Otu00021	PNC2	0.413344423820633	Bacteria	Chloroflexi	Anaerolineae
Otu00042	VC3	3.65512900442361	Bacteria	Chloroflexi	Ardenticatenia
Otu00042	VC1	3.02454417553637	Bacteria	Chloroflexi	Ardenticatenia
Otu00042	VC2	2.29009124283094	Bacteria	Chloroflexi	Ardenticatenia
Otu00042	PNC3	1.18171851942131	Bacteria	Chloroflexi	Ardenticatenia
Otu00042	PNC1	0.543663404885467	Bacteria	Chloroflexi	Ardenticatenia
Otu00042	PNC2	0.279150759899941	Bacteria	Chloroflexi	Ardenticatenia
Otu00607	VC2	0.342051373990059	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu00607	VC3	0.241891711712691	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu00607	PNC1	0.121179761744022	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu00607	VC1	0.0367004902677931	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu00607	PNC3	0.0155579723334486	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu00607	PNC2	0.0107789198310803	Bacteria	Armatimonadetes	Armatimonadetes_unclassified
Otu01174	PNC3	0.0930271534038581	Bacteria	Proteobacteria	BJGMM-U27
Otu01174	PNC1	0.00461410851234421	Bacteria	Proteobacteria	BJGMM-U27
Otu01174	PNC2	0.0010858524732087	Bacteria	Proteobacteria	BJGMM-U27
Otu01174	VC2	0	Bacteria	Proteobacteria	BJGMM-U27
Otu01174	VC3	0	Bacteria	Proteobacteria	BJGMM-U27
Otu01174	VC1	0	Bacteria	Proteobacteria	BJGMM-U27
Otu00047	PNC2	5.70746595346583	Bacteria	Firmicutes	Bacilli
Otu00047	PNC3	3.28184986051787	Bacteria	Firmicutes	Bacilli
Otu00047	VC3	2.68253804978736	Bacteria	Firmicutes	Bacilli
Otu00047	VC1	1.53378527635767	Bacteria	Firmicutes	Bacilli
Otu00047	PNC1	0.953467229134427	Bacteria	Firmicutes	Bacilli
Otu00047	VC2	0.859423295950891	Bacteria	Firmicutes	Bacilli
Otu00010	VC1	9.5089521067811	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00010	VC3	5.31593543497892	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC3	3.22351960350222	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC1	2.66596107372728	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00010	PNC2	1.37522501403405	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00010	VC2	1.35951202771601	Bacteria	Bacteria_unclassified	Bacteria_unclassified
Otu00318	PNC1	0.303646986575643	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00318	PNC3	0.151395208729301	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00318	PNC2	0.0365001939796335	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00318	VC3	0.0338165949285902	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00318	VC2	0.00879490198488912	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00318	VC1	0.00618580742881787	Bacteria	Bacteroidetes	Bacteroidetes_BD2-2
Otu00160	PNC3	0.749905718744765	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00160	PNC1	0.746431167289833	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00160	PNC2	0.263490870480367	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00160	VC1	0.153244010922006	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00160	VC2	0.120190525794661	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00160	VC3	0.100738680607948	Bacteria	Bacteroidetes	Bacteroidetes_unclassified
Otu00512	VC2	0.258874340552783	Bacteria	Bacteroidetes	Bacteroidia
Otu00512	VC1	0.249095545946646	Bacteria	Bacteroidetes	Bacteroidia
Otu00512	PNC1	0.0987152771488475	Bacteria	Bacteroidetes	Bacteroidia
Otu00512	PNC3	0.0664195851435131	Bacteria	Bacteroidetes	Bacteroidia
Otu00512	VC3	0.0234148407875118	Bacteria	Bacteroidetes	Bacteroidia
Otu00512	PNC2	0.0214457632655864	Bacteria	Bacteroidetes	Bacteroidia
