OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu01938	VC2	0.0505620610533553	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	VC1	0.00508322266955911	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	PNC2	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	VC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01407	PNC1	0.0817362064463393	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	PNC3	0.0415690110882941	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	PNC2	0.0168319665101139	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	VC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu00295	VC1	0.182574139213883	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	VC3	0.126073474974868	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	VC2	0.0927122246886236	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	PNC1	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
