OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu01407	PNC1	0.0817362064463393	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	PNC3	0.0415690110882941	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	PNC2	0.0168319665101139	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01714	VC1	0.0486314104824824	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC1	0.0107235605051696	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	VC3	0.00304489011690555	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC3	0.00225826249219764	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	VC2	0.00152149998403883	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu00029	VC1	1.05788892209032	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	VC3	0.602666275531987	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	VC2	0.393990493944332	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC2	0.118056668236351	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00207	VC3	0.655142592824053	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	VC1	0.141360309200119	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC3	0.108934656101013	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC1	0.0831017079944183	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC2	0.0670337575546558	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	VC2	0.00242446733361677	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu01342	VC3	0.0786168044814148	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	VC1	0.0457447989002384	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC2	0.00229889292083812	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	VC2	0.00121223366680838	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC3	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC1	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu02735	PNC3	0.0150937023910933	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC1	0.0107596114272169	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC2	0.00835238926784657	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC3	0.000984153451845515	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu00001	PNC2	22.5808475117229	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	PNC3	14.8968777726366	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC1	9.36025239491319	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	PNC1	8.40630686874258	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC3	4.98665655597803	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC2	2.47537231704311	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00088	VC2	1.24085820042638	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC1	0.347227676289648	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	VC1	0.0251190714327836	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	VC3	0.0198138424169848	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC2	0.00611709033421881	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC3	0.00353489975554374	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00200	VC2	0.836321112161621	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	VC1	0.00480757647974442	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	VC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00033	VC1	1.408781585932	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC3	1.13144229879158	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC2	1.03285950675559	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC1	0.821821114154072	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC3	0.616757635735461	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00165	VC1	0.538036796807738	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC3	0.29719541192149	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC2	0.198060328816015	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC2	0.133081524139513	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	PNC3	0.0586985276414525	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00165	PNC1	0.0130486402223654	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00165	PNC2	0.00301874271660607	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu01089	VC3	0.0849554114451213	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	VC2	0.0674459975581485	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	VC1	0.0242117111996704	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC1	0.00576763564043026	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC2	0.00447059786725551	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC3	0.00106223243292577	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu00025	PNC3	2.4863989155358	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	PNC1	2.35825037767091	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	PNC2	1.32567425279616	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC2	0.914245469970842	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC1	0.80710710447125	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC3	0.605616448363205	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00511	VC3	0.266277673752767	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	VC1	0.24347793042976	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC1	0.210136665433199	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC2	0.0974036664779168	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC3	0.0272247989548747	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	VC2	0.0135634394777952	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00021	VC2	8.53587923975339	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	VC3	5.97187582034771	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	VC1	3.76242164313583	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	PNC1	2.30123926589108	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	PNC3	0.928680263353078	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	PNC2	0.413344423820633	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00084	VC1	1.15123575061896	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00084	VC3	0.0568305437917371	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00084	PNC2	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00084	PNC1	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00084	PNC3	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00084	VC2	0	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales
Otu00042	VC3	3.59829846063187	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00042	VC2	2.29009124283094	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00042	VC1	1.87330842491741	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00042	PNC3	1.18171851942131	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00042	PNC1	0.543663404885467	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00042	PNC2	0.279150759899941	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenia_unclassified
Otu00607	VC2	0.342051373990059	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	VC3	0.241891711712691	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC1	0.121179761744022	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	VC1	0.0367004902677931	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC3	0.0155579723334486	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00607	PNC2	0.0107789198310803	Bacteria	Armatimonadetes	Armatimonadetes_unclassified	Armatimonadetes_unclassified
Otu00028	VC3	4.24340494329669	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group
Otu00028	PNC1	3.13814227898537	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group
Otu00028	VC1	2.99487377145709	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group
Otu00028	VC2	2.60462049361907	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group
