OTU	Sample	Abundance	Kingdom	Phylum
Otu02735	PNC3	0.0150937023910933	Bacteria	Acetothermia
Otu02735	PNC1	0.0107596114272169	Bacteria	Acetothermia
Otu02735	PNC2	0.00835238926784657	Bacteria	Acetothermia
Otu02735	VC3	0.000984153451845515	Bacteria	Acetothermia
Otu02735	VC1	0	Bacteria	Acetothermia
Otu02735	VC2	0	Bacteria	Acetothermia
Otu00200	VC2	3.119474848882	Bacteria	Acidobacteria
Otu00200	VC3	1.63611494308522	Bacteria	Acidobacteria
Otu00200	PNC3	1.41786878588337	Bacteria	Acidobacteria
Otu00200	PNC2	1.29636472788105	Bacteria	Acidobacteria
Otu00200	PNC1	1.14678476945062	Bacteria	Acidobacteria
Otu00200	VC1	0.933121464193687	Bacteria	Acidobacteria
Otu00001	PNC2	28.9594867892478	Bacteria	Actinobacteria
Otu00001	PNC3	19.4991081664138	Bacteria	Actinobacteria
Otu00001	VC1	19.1472718836211	Bacteria	Actinobacteria
Otu00001	VC3	13.5080144072223	Bacteria	Actinobacteria
Otu00001	PNC1	12.0354774100686	Bacteria	Actinobacteria
Otu00001	VC2	7.6803141872908	Bacteria	Actinobacteria
Otu00607	VC2	0.346900308657292	Bacteria	Armatimonadetes
Otu00607	VC3	0.252924952064449	Bacteria	Armatimonadetes
Otu00607	PNC1	0.121179761744022	Bacteria	Armatimonadetes
Otu00607	VC1	0.0513186661497861	Bacteria	Armatimonadetes
Otu00607	PNC3	0.0155579723334486	Bacteria	Armatimonadetes
Otu00607	PNC2	0.0107789198310803	Bacteria	Armatimonadetes
Otu00010	VC1	9.5089521067811	Bacteria	Bacteria_unclassified
Otu00010	VC3	5.31593543497892	Bacteria	Bacteria_unclassified
Otu00010	PNC3	3.22351960350222	Bacteria	Bacteria_unclassified
Otu00010	PNC1	2.66596107372728	Bacteria	Bacteria_unclassified
Otu00010	PNC2	1.37522501403405	Bacteria	Bacteria_unclassified
Otu00010	VC2	1.35951202771601	Bacteria	Bacteria_unclassified
Otu00014	PNC1	14.9716800740824	Bacteria	Bacteroidetes
Otu00014	VC3	12.7941941473189	Bacteria	Bacteroidetes
Otu00014	PNC3	11.066948409995	Bacteria	Bacteroidetes
Otu00014	VC1	6.93603560383688	Bacteria	Bacteroidetes
Otu00014	PNC2	6.64505370435566	Bacteria	Bacteroidetes
Otu00014	VC2	6.44969873328432	Bacteria	Bacteroidetes
Otu01531	PNC2	0.155606837506918	Bacteria	Chlamydiae
Otu01531	PNC1	0.0836418044180738	Bacteria	Chlamydiae
Otu01531	PNC3	0.0802722156309058	Bacteria	Chlamydiae
Otu01531	VC3	0.0576140951968866	Bacteria	Chlamydiae
Otu01531	VC1	0.0413539380736185	Bacteria	Chlamydiae
Otu01531	VC2	0.0101075494190693	Bacteria	Chlamydiae
Otu00124	VC2	1.87420408776869	Bacteria	Chlorobi
Otu00124	VC3	0.429043333246407	Bacteria	Chlorobi
Otu00124	PNC1	0.263930007737012	Bacteria	Chlorobi
Otu00124	PNC2	0.168448341906574	Bacteria	Chlorobi
Otu00124	VC1	0.167304697341178	Bacteria	Chlorobi
Otu00124	PNC3	0.0522172141361521	Bacteria	Chlorobi
Otu00012	VC3	25.256201502259	Bacteria	Chloroflexi
Otu00012	VC2	21.7124740983134	Bacteria	Chloroflexi
Otu00012	VC1	19.0211593951237	Bacteria	Chloroflexi
Otu00012	PNC1	9.84991285588172	Bacteria	Chloroflexi
Otu00012	PNC3	9.40407337900073	Bacteria	Chloroflexi
Otu00012	PNC2	6.24260906451085	Bacteria	Chloroflexi
Otu00111	VC1	0.688227091878611	Bacteria	Cyanobacteria
Otu00111	VC2	0.538091717675132	Bacteria	Cyanobacteria
Otu00111	VC3	0.181170325754259	Bacteria	Cyanobacteria
Otu00111	PNC1	0.117181696514309	Bacteria	Cyanobacteria
Otu00111	PNC3	0.0787101478959793	Bacteria	Cyanobacteria
Otu00111	PNC2	0.077188893072746	Bacteria	Cyanobacteria
Otu00474	PNC1	0.533939895238575	Bacteria	Deferribacteres
Otu00474	PNC3	0.265478694836116	Bacteria	Deferribacteres
Otu00474	PNC2	0.120850100812975	Bacteria	Deferribacteres
Otu00474	VC2	0.118966870264737	Bacteria	Deferribacteres
Otu00474	VC1	0.0239967128094965	Bacteria	Deferribacteres
Otu00474	VC3	0.0128110466783022	Bacteria	Deferribacteres
Otu00220	VC2	0.697513635596156	Bacteria	Deinococcus-Thermus
Otu00220	PNC1	0.163386662027263	Bacteria	Deinococcus-Thermus
Otu00220	VC3	0.0483925074981275	Bacteria	Deinococcus-Thermus
Otu00220	VC1	0.0234714651140863	Bacteria	Deinococcus-Thermus
Otu00220	PNC3	0.0188075466955428	Bacteria	Deinococcus-Thermus
Otu00220	PNC2	0.0182556551878534	Bacteria	Deinococcus-Thermus
Otu02713	VC2	0.0379613997916075	Bacteria	Fibrobacteres
Otu02713	VC3	0.00345588351081917	Bacteria	Fibrobacteres
Otu02713	VC1	0.000961515295948884	Bacteria	Fibrobacteres
Otu02713	PNC1	0	Bacteria	Fibrobacteres
Otu02713	PNC2	0	Bacteria	Fibrobacteres
Otu02713	PNC3	0	Bacteria	Fibrobacteres
Otu00046	PNC2	8.12134612005011	Bacteria	Firmicutes
Otu00046	VC3	5.69713047139589	Bacteria	Firmicutes
Otu00046	PNC3	5.40204777820975	Bacteria	Firmicutes
Otu00046	VC1	4.09057355611885	Bacteria	Firmicutes
Otu00046	PNC1	3.64302847043359	Bacteria	Firmicutes
Otu00046	VC2	2.60933952411987	Bacteria	Firmicutes
Otu02377	VC2	0.0256053789715517	Bacteria	GOUTA4
Otu02377	PNC1	0.0119790094433716	Bacteria	GOUTA4
Otu02377	VC1	0.00464046233221534	Bacteria	GOUTA4
Otu02377	PNC2	0.00439099296624884	Bacteria	GOUTA4
Otu02377	PNC3	0.00117829991851458	Bacteria	GOUTA4
Otu02377	VC3	0	Bacteria	GOUTA4
Otu00037	VC3	5.83356975990856	Bacteria	Gemmatimonadetes
Otu00037	PNC1	4.77729184029387	Bacteria	Gemmatimonadetes
Otu00037	VC2	4.57715992191551	Bacteria	Gemmatimonadetes
Otu00037	VC1	4.23750651608444	Bacteria	Gemmatimonadetes
Otu00037	PNC3	3.19003117338533	Bacteria	Gemmatimonadetes
Otu00037	PNC2	2.07949875996537	Bacteria	Gemmatimonadetes
Otu00484	PNC3	0.218049937841575	Bacteria	Gracilibacteria
Otu00484	PNC1	0.151696105287681	Bacteria	Gracilibacteria
Otu00484	PNC2	0.03214507819566	Bacteria	Gracilibacteria
Otu00484	VC1	0.00938296396991123	Bacteria	Gracilibacteria
Otu00484	VC2	0.00342945345358952	Bacteria	Gracilibacteria
Otu00484	VC3	0	Bacteria	Gracilibacteria
Otu01190	PNC1	0.237372682202837	Bacteria	Hydrogenedentes
Otu01190	VC2	0.143436633022948	Bacteria	Hydrogenedentes
Otu01190	VC3	0.142777059023466	Bacteria	Hydrogenedentes
Otu01190	PNC3	0.0491208106824941	Bacteria	Hydrogenedentes
Otu01190	VC1	0.0370260863946499	Bacteria	Hydrogenedentes
Otu01190	PNC2	0.0213185752911657	Bacteria	Hydrogenedentes
Otu00975	VC3	0.193122571711436	Bacteria	JL-ETNP-Z39
Otu00975	VC1	0.098212090274145	Bacteria	JL-ETNP-Z39
Otu00975	VC2	0.0299637187357508	Bacteria	JL-ETNP-Z39
Otu00975	PNC1	0.00461410851234421	Bacteria	JL-ETNP-Z39
Otu00975	PNC2	0.00332115140683645	Bacteria	JL-ETNP-Z39
Otu00975	PNC3	0	Bacteria	JL-ETNP-Z39
Otu00314	VC2	0.613963935159259	Bacteria	Latescibacteria
Otu00314	VC3	0.448026800619368	Bacteria	Latescibacteria
Otu00314	PNC3	0.420348830177097	Bacteria	Latescibacteria
Otu00314	PNC1	0.269865390748215	Bacteria	Latescibacteria
Otu00314	PNC2	0.266431497126982	Bacteria	Latescibacteria
Otu00314	VC1	0.157811357551198	Bacteria	Latescibacteria
Otu00952	VC1	0.219888561618345	Bacteria	Lentisphaerae
Otu00952	PNC2	0.0453180570944065	Bacteria	Lentisphaerae
Otu00952	VC2	0.0374708048885731	Bacteria	Lentisphaerae
Otu00952	PNC3	0.0198778226281808	Bacteria	Lentisphaerae
Otu00952	VC3	0.00870662515249256	Bacteria	Lentisphaerae
Otu00952	PNC1	0.00713309186109809	Bacteria	Lentisphaerae
Otu00005	VC2	5.4753327445909	Bacteria	Nitrospirae
Otu00005	VC1	3.4517095990692	Bacteria	Nitrospirae
Otu00005	VC3	1.61917585380551	Bacteria	Nitrospirae
Otu00005	PNC3	0.719726013207838	Bacteria	Nitrospirae
