OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family
Otu01938	VC2	0.0505620610533553	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	VC1	0.00508322266955911	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC2	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	VC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01407	PNC1	0.0817362064463393	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	PNC3	0.0415690110882941	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	PNC2	0.0168319665101139	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu00295	VC1	0.182574139213883	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	VC3	0.126073474974868	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	VC2	0.0927122246886236	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC1	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC3	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC2	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu01714	VC1	0.0486314104824824	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC1	0.0107235605051696	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	VC3	0.00304489011690555	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC3	0.00225826249219764	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	VC2	0.00152149998403883	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu00029	VC1	1.05788892209032	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	VC3	0.602666275531987	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	VC2	0.393990493944332	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC2	0.118056668236351	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00386	PNC2	0.472669014664234	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	PNC1	0.319397522662611	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	PNC3	0.146831683524752	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC1	0.116729742915928	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC3	0.115208042341538	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC2	0.0989576528830745	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu02515	VC1	0.0286090647630953	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	VC3	0.0107503100132421	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	VC2	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC1	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC3	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC2	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02617	VC1	0.0124996988473355	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC2	0.00689667876251435	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	VC2	0.00685890690717905	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC3	0.00546268993173223	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	VC3	0.00393661380738206	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu00379	VC2	0.365845620380527	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	VC3	0.0168443302571378	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	VC1	0.0166867029796084	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00230	VC3	0.367828643611993	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	VC1	0.107903015938281	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC3	0.0673206031682905	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC2	0.044968514998737	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC1	0.0383025354090601	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	VC2	0.00899893952567876	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00921	VC2	0.129020924688011	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	VC3	0.0237162239746632	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	VC1	0.00288454588784665	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00207	VC3	0.655142592824053	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	VC1	0.141360309200119	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC3	0.108934656101013	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC1	0.0831017079944183	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC2	0.0670337575546558	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	VC2	0.00242446733361677	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00567	PNC3	0.178462012429872	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	PNC1	0.050155366625266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	VC1	0.0106852002977233	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	VC2	0.00900054452870175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	PNC2	0.00434340989283479	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	VC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu01342	VC3	0.0786168044814148	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu01342	VC1	0.0457447989002384	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu01342	PNC2	0.00229889292083812	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu01342	VC2	0.00121223366680838	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu01342	PNC3	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu01342	PNC1	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group	AT425-EubC11_terrestrial_group_unclassified
Otu02084	VC2	0.0724356579102837	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02084	VC1	0.0151629755248173	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02084	VC3	0.00551662017587921	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02084	PNC1	0.00359855411642142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02084	PNC3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02084	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
Otu02735	PNC3	0.0150937023910933	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC1	0.0107596114272169	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC2	0.00835238926784657	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC3	0.000984153451845515	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified	Acetothermia_unclassified
Otu00081	PNC1	1.17936665420698	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	PNC3	1.12205992877479	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	PNC2	0.531842151125682	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC1	0.143264231677831	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC3	0.0913923465067713	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu00081	VC2	0.0811226908274996	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae
Otu01706	PNC3	0.0440692002708453	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	PNC1	0.0119230785439767	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	PNC2	0.00402499028880809	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC1	0.00219867678171246	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC2	0.00121223366680838	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu01706	VC3	0	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_Incertae_Sedis
Otu00281	PNC2	0.430876911523101	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC1	0.263219463430083	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	PNC3	0.21218263587696	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC3	0.160055038656126	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	PNC1	0.155789997353717	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00281	VC2	0.113054691543375	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_unclassified
Otu00200	VC2	0.836321112161621	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	VC1	0.00480757647974442	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	VC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu00200	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae_(Subgroup_1)
Otu01176	VC2	0.0734035421187726	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC1	0.0263632859203835	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	VC3	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC3	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	PNC2	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu01176	VC1	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae
Otu00033	VC1	1.408781585932	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC3	1.13144229879158	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
