OTU	Sample	Abundance	Kingdom	Phylum	Class
Otu02735	28	2.5538124771981	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	23	2.39578342117873	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	27	2.22551928783383	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	22	2.03417412530513	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	25	1.03412616339193	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	20	0.832639467110741	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	21	0.782472613458529	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	24	0.547345374931582	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	17	0.518403317781234	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	26	0.404694455685957	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	13	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	10	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	4	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	18	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	1	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	16	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	19	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu02735	8	0	Bacteria	Acetothermia	Acetothermia_unclassified
Otu00001	24	4260.53639846743	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	23	3531.86391950168	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	25	2960.18614270941	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	28	2068.95293688435	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	1	2041.8410041841	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	17	1656.81700362882	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	27	1585.3115727003	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	4	1580.72437077962	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	26	1462.16106839336	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	21	1216.74491392801	Bacteria	Actinobacteria	Acidimicrobiia
Otu00001	16	1113.29715061058	Bacteria	Actinobacteria	Acidimicrobiia
