OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family	Genus
Otu01938	16	22.3880597014925	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	13	5.58659217877095	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	10	2.9673590504451	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	8	1.90839694656489	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	4	0.613873542050338	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	17	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	18	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	27	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	1	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	23	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	21	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	28	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	22	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	25	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	26	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	24	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	19	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01938	20	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08	21f08_unclassified
Otu01407	20	14.1548709408826	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	28	7.29660707770887	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	22	6.91619202603743	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	21	6.6510172143975	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	23	4.79156684235745	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	26	3.64225010117361	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	27	3.33827893175074	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	24	2.18938149972633	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	25	1.03412616339193	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	8	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	10	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	19	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	18	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	13	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	4	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	17	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu01407	16	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified	34P16_unclassified
Otu00295	1	46.6228332337119	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	10	37.8338278931751	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	8	32.9198473282443	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	19	28.5194174757282	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	17	19.6993260756869	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	18	18.1905217807563	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	16	14.246947082768	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	4	11.0497237569061	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	13	4.65549348230913	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	27	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	23	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	25	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	26	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	28	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	24	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	22	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	21	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu00295	20	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29	4-29_unclassified
Otu01714	4	17.8023327194598	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	8	3.33969465648855	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	1	2.98864315600717	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	20	1.66527893422148	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	21	1.56494522691706	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	13	0.931098696461825	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	19	0.606796116504855	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	17	0.518403317781234	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	18	0.478697941598851	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	22	0.406834825061025	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	26	0.404694455685957	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	27	0.370919881305638	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	23	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	28	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	16	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	10	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	24	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu01714	25	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified	4-Org1-14_unclassified
Otu00029	1	209.205020920502	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	4	196.439533456108	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	16	158.073270013569	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	19	138.349514563107	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	17	132.192846034215	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	8	119.274809160305	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	10	50.4451038575668	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	18	46.9123982766874	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	13	32.5884543761639	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	25	27.4043433298863	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	23	16.7704839482511	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	24	12.0415982484948	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	26	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	28	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	21	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	22	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	20	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00029	27	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified	43F-1404R_unclassified
Otu00386	25	111.685625646329	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	24	67.8708264915162	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	21	56.3380281690141	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	16	46.8113975576662	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	23	45.5198850023958	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	22	37.8356387306753	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	4	31.3075506445672	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	19	24.2718446601942	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	28	21.1601605253557	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	27	20.7715133531157	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	8	20.0381679389313	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	17	19.1809227579057	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	18	17.2331258975586	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	20	14.1548709408826	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	26	8.4985835694051	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	10	8.16023738872404	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
Otu00386	1	6.57501494321578	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2	480-2_unclassified
