OTU	Sample	Abundance	Kingdom	Phylum	Class	Order
Otu01407	PNC1	9.24069339377251	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	PNC3	4.75904537021107	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	PNC2	2.67169150182524	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01407	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16
Otu01714	VC1	8.04355684398517	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC1	1.21235299539986	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	VC3	0.534632458628313	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	VC2	0.310366232153942	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC3	0.258538112330532	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu01714	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14
Otu00029	VC1	174.973121178972	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	VC3	105.818252958003	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	VC2	80.3689427490997	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC2	18.7388085088774	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00029	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R
Otu00207	VC3	115.032228325406	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	VC1	23.3807671061495	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC3	12.4714290092663	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC2	10.6400829805938	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	PNC1	9.39507028111685	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu00207	VC2	0.494559841740851	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722
Otu01342	VC3	13.8038135550571	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	VC1	7.56611594482291	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC2	0.364896916621055	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	VC2	0.247279920870425	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC3	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu01342	PNC1	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11_terrestrial_group
Otu02735	PNC3	1.7280087402393	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC2	1.32575165316741	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	PNC1	1.21642873529147	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC3	0.172801105927078	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC2	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu02735	VC1	0	Bacteria	Acetothermia	Acetothermia_unclassified	Acetothermia_unclassified
Otu00001	PNC2	3584.19548689284	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	PNC3	1705.47519265934	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC1	1548.17064661641	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	PNC1	950.375699158632	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC3	875.57460285856	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00001	VC2	504.943797093879	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales
Otu00088	VC2	253.118953890064	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC1	39.2558528701871	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	VC1	4.15465389412257	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	VC3	3.47898376609796	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC2	0.970948834291564	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00088	PNC3	0.404694455685957	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales
Otu00200	VC2	170.598642901972	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	VC1	0.795165394402036	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	VC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00200	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales
Otu00033	VC1	233.010201735469	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC2	163.942933531874	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00033	PNC3	129.533637985469	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC3	108.292463278163	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	PNC1	92.9110521591428	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC1	88.9904182573038	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC3	52.1826101002676	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	VC2	40.4017342350683	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00033	VC2	27.1469021687683	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu00165	PNC3	6.72012513400701	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00165	PNC1	1.47521506983184	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu00165	PNC2	0.479156684235745	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified
Otu01089	VC3	14.9167683400163	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	VC2	13.7581073648255	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	VC1	4.00457797527489	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC2	0.709605637751699	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC1	0.652060511215441	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu01089	PNC3	0.121610117961814	Bacteria	Actinobacteria	Actinobacteria	Actinopolysporales
Otu00025	PNC3	284.656404799841	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	PNC1	266.612186119889	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	PNC2	210.420608504411	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC2	186.494199642015	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC1	133.494213093763	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00025	VC3	106.336254624262	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified
Otu00511	VC3	46.7539654734561	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	VC1	40.2708569263704	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC1	23.7570176116843	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC2	15.4606146476886	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	PNC3	3.11684233107988	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00511	VC2	2.76676546167082	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales
Otu00021	VC2	1741.20848212622	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	VC3	1048.56284787715	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	VC1	622.298470419737	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
Otu00021	PNC1	260.16679029226	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales
