OTU	Sample	Abundance	Kingdom	Phylum
Otu02735	28	2.5538124771981	Bacteria	Acetothermia
Otu02735	23	2.39578342117873	Bacteria	Acetothermia
Otu02735	27	2.22551928783383	Bacteria	Acetothermia
Otu02735	22	2.03417412530513	Bacteria	Acetothermia
Otu02735	25	1.03412616339193	Bacteria	Acetothermia
Otu02735	20	0.832639467110741	Bacteria	Acetothermia
Otu02735	21	0.782472613458529	Bacteria	Acetothermia
Otu02735	24	0.547345374931582	Bacteria	Acetothermia
Otu02735	17	0.518403317781234	Bacteria	Acetothermia
Otu02735	26	0.404694455685957	Bacteria	Acetothermia
Otu02735	13	0	Bacteria	Acetothermia
Otu02735	16	0	Bacteria	Acetothermia
Otu02735	19	0	Bacteria	Acetothermia
Otu02735	4	0	Bacteria	Acetothermia
Otu02735	10	0	Bacteria	Acetothermia
Otu02735	18	0	Bacteria	Acetothermia
Otu02735	1	0	Bacteria	Acetothermia
Otu02735	8	0	Bacteria	Acetothermia
Otu00200	13	1067.03910614525	Bacteria	Acidobacteria
Otu00200	10	460.682492581603	Bacteria	Acidobacteria
Otu00200	16	381.275440976934	Bacteria	Acidobacteria
Otu00200	19	368.325242718447	Bacteria	Acidobacteria
Otu00200	18	275.251316419339	Bacteria	Acidobacteria
Otu00200	25	259.048603929679	Bacteria	Acidobacteria
Otu00200	17	218.247796785899	Bacteria	Acidobacteria
Otu00200	27	185.089020771513	Bacteria	Acidobacteria
Otu00200	23	182.558696693819	Bacteria	Acidobacteria
Otu00200	8	179.86641221374	Bacteria	Acidobacteria
Otu00200	1	176.329946204423	Bacteria	Acidobacteria
Otu00200	24	175.697865353038	Bacteria	Acidobacteria
Otu00200	26	164.710643464185	Bacteria	Acidobacteria
Otu00200	28	137.176213060927	Bacteria	Acidobacteria
Otu00200	21	134.585289514867	Bacteria	Acidobacteria
Otu00200	20	129.059117402165	Bacteria	Acidobacteria
Otu00200	22	125.305126118796	Bacteria	Acidobacteria
Otu00200	4	106.813996316759	Bacteria	Acidobacteria
Otu00001	24	5116.0372194855	Bacteria	Actinobacteria
Otu00001	23	4879.73167225683	Bacteria	Actinobacteria
Otu00001	17	4329.70451010887	Bacteria	Actinobacteria
Otu00001	25	3794.20889348501	Bacteria	Actinobacteria
Otu00001	4	3492.94045426642	Bacteria	Actinobacteria
Otu00001	1	3355.64853556485	Bacteria	Actinobacteria
Otu00001	16	3250.33921302578	Bacteria	Actinobacteria
Otu00001	28	2881.43013498723	Bacteria	Actinobacteria
Otu00001	8	2652.19465648855	Bacteria	Actinobacteria
Otu00001	27	2011.12759643917	Bacteria	Actinobacteria
Otu00001	26	1804.53257790368	Bacteria	Actinobacteria
Otu00001	21	1673.70892018779	Bacteria	Actinobacteria
Otu00001	18	1424.60507419818	Bacteria	Actinobacteria
Otu00001	19	1361.04368932039	Bacteria	Actinobacteria
Otu00001	20	1261.03247293922	Bacteria	Actinobacteria
Otu00001	22	1147.27420667209	Bacteria	Actinobacteria
Otu00001	10	956.231454005935	Bacteria	Actinobacteria
Otu00001	13	493.482309124767	Bacteria	Actinobacteria
Otu00607	10	107.566765578635	Bacteria	Armatimonadetes
Otu00607	13	95.903165735568	Bacteria	Armatimonadetes
Otu00607	19	55.2184466019418	Bacteria	Armatimonadetes
Otu00607	17	49.7667185069985	Bacteria	Armatimonadetes
Otu00607	18	28.2431785543322	Bacteria	Armatimonadetes
Otu00607	20	25.811823480433	Bacteria	Armatimonadetes
Otu00607	22	10.9845402766477	Bacteria	Armatimonadetes
Otu00607	8	10.9732824427481	Bacteria	Armatimonadetes
Otu00607	1	8.96592946802152	Bacteria	Armatimonadetes
Otu00607	16	8.81953867028494	Bacteria	Armatimonadetes
Otu00607	4	5.52486187845304	Bacteria	Armatimonadetes
Otu00607	25	4.6535677352637	Bacteria	Armatimonadetes
Otu00607	21	4.30359937402191	Bacteria	Armatimonadetes
Otu00607	27	2.22551928783383	Bacteria	Armatimonadetes
Otu00607	26	2.02347227842979	Bacteria	Armatimonadetes
Otu00607	28	1.09449106165633	Bacteria	Armatimonadetes
Otu00607	23	0.479156684235745	Bacteria	Armatimonadetes
Otu00607	24	0	Bacteria	Armatimonadetes
Otu00010	1	2428.57142857143	Bacteria	Bacteria_unclassified
Otu00010	17	1522.0321410057	Bacteria	Bacteria_unclassified
Otu00010	8	1486.1641221374	Bacteria	Bacteria_unclassified
Otu00010	4	803.560466543892	Bacteria	Bacteria_unclassified
Otu00010	18	647.678314983246	Bacteria	Bacteria_unclassified
Otu00010	19	630.461165048544	Bacteria	Bacteria_unclassified
Otu00010	27	499.629080118694	Bacteria	Bacteria_unclassified
Otu00010	26	374.747065965196	Bacteria	Bacteria_unclassified
Otu00010	20	332.639467110741	Bacteria	Bacteria_unclassified
Otu00010	13	331.47113594041	Bacteria	Bacteria_unclassified
Otu00010	21	296.948356807512	Bacteria	Bacteria_unclassified
Otu00010	16	288.331071913162	Bacteria	Bacteria_unclassified
Otu00010	25	276.628748707342	Bacteria	Bacteria_unclassified
Otu00010	22	274.613506916192	Bacteria	Bacteria_unclassified
Otu00010	28	232.761765778913	Bacteria	Bacteria_unclassified
Otu00010	10	212.166172106825	Bacteria	Bacteria_unclassified
Otu00010	24	209.085933223864	Bacteria	Bacteria_unclassified
Otu00010	23	169.142309535218	Bacteria	Bacteria_unclassified
