OTU	Sample	Abundance	Kingdom	Phylum	Class	Order	Family
Otu01938	VC2	10.3140036435695	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	VC1	0.840756829538408	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC2	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	VC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01938	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	21f08
Otu01407	PNC1	9.24069339377251	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	PNC3	4.75904537021107	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	PNC2	2.67169150182524	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu01407	VC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	34P16	34P16_unclassified
Otu00295	VC1	30.1974681062874	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	VC3	22.1364217773905	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	VC2	18.9120894860841	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC1	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC3	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu00295	PNC2	0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	4-29
Otu01714	VC1	8.04355684398517	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC1	1.21235299539986	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	VC3	0.534632458628313	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	VC2	0.310366232153942	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC3	0.258538112330532	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu01714	PNC2	0	Bacteria	Proteobacteria	Alphaproteobacteria	4-Org1-14	4-Org1-14_unclassified
Otu00029	VC1	174.973121178972	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	VC3	105.818252958003	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	VC2	80.3689427490997	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC2	18.7388085088774	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC1	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00029	PNC3	0	Bacteria	Proteobacteria	Deltaproteobacteria	43F-1404R	43F-1404R_unclassified
Otu00386	PNC2	75.0254457134136	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	PNC1	36.109512613524	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC3	20.2286311052195	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC2	20.1860757083871	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	VC1	19.3069111755714	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu00386	PNC3	16.8100858159588	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	480-2
Otu02515	VC1	4.73189316106926	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	VC3	1.88757703980373	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	VC2	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC1	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC3	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02515	PNC2	0	Bacteria	Firmicutes	Clostridia	Halanaerobiales	64K2
Otu02617	VC1	2.06743002544529	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	VC2	1.39912791048802	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC2	1.09469074986316	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	VC3	0.691204423708312	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC3	0.625398308689373	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu02617	PNC1	0	Bacteria	Firmicutes	Clostridia	Clostridiales	9B-04
Otu00379	VC2	74.6277541496365	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	VC3	2.95758643286378	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	VC1	2.75995375465256	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC3	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00379	PNC2	0	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	9M32
Otu00230	VC3	64.5846400158608	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	VC1	17.8469847723137	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC3	7.70722700492844	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC2	7.13772804262868	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	PNC1	4.33029622131541	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00230	VC2	1.835666765209	Bacteria	Acidobacteria	Holophagae	Subgroup_10	ABS-19
Otu00921	VC2	26.3185926286632	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	VC3	4.16417757164905	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	VC1	0.477099236641221	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC2	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC1	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00921	PNC3	0	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	AKIW659
Otu00207	VC3	115.032228325406	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	VC1	23.3807671061495	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC3	12.4714290092663	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC2	10.6400829805938	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	PNC1	9.39507028111685	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00207	VC2	0.494559841740851	Bacteria	Chloroflexi	Thermomicrobia	AKYG1722	AKYG1722_unclassified
Otu00567	PNC3	20.4312970594603	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	PNC1	5.67031900777786	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	VC2	1.83599416497638	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
Otu00567	VC1	1.76731489239993	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44
