ID	1	4	8	10	13	16	17	18	19	20	21	22	23	24	25	26	27	28
pH	6.91	7.48	7.31	7.43	7.08	6.97	7.47	7.56	7.53	7.13	7.09	7.08	8.23	8.26	8.36	8.44	8.46	8.45
CO	0.56	0.4	0.57	0.55	0.7	0.79	0.54	0.48	0.5	2.13	2.36	2.77	1.51	1.69	1.35	2.15	1.76	1.8
NT	0.26	0.26	0.23	0.24	0.18	0.2	0.24	0.14	0.23	0.25	0.26	0.25	0.12	0.13	0.17	0.19	0.14	0.14
Ca	5.49	4.02	3.94	3.73	3.41	2.97	7.11	6.59	5.14	7.14	8.44	9.17	12	10	9.67	13.5	14.2	12
K	1.39	1.35	1.36	1.05	1.64	1.36	1.69	1.73	1.79	1.97	2.07	2.18	0.73	0.71	0.6	1.42	1.45	1.27
Mg	6.48	7.06	7.16	6.25	7.05	5.72	14	13.8	14	19.8	23.1	24.2	5.59	5.61	5.43	15.3	13.4	11.4
Na	15.3	14.8	14.9	8.9	28.2	18.1	37	36.9	39.1	73.6	83.9	88.2	22.2	18	19.6	57.5	52.9	42.1
Al	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICE	28.6	27.2	27.4	19.9	40.3	28.2	59.8	59	60	102	118	124	40.5	34.3	35.3	87.8	81.9	66.7
CE	15.4	15.4	17.3	5.98	24.2	16.6	40.2	43.6	43.6	152.2	133.6	149.6	54.8	54	55.6	131.6	130.4	138.4
P	116	116	116	116	88	109	116	116	116	43	39.3	41.7	12.4	27.6	10.8	21.6	24.1	23.1
S	244	171	93.2	7.73	273	225	533	849	523	1669	1565	1013	228	128	230	798	862	735
Cu	3.79	3.18	3.77	3.8	5.81	5.22	3.72	3.7	3.66	1.72	2.06	2.25	0.25	0.18	0.16	0.47	0.41	0.42
Fe	132	100	105	145	164	160	174	181	151	76.6	81.8	86.2	54.4	20	1.47	45.3	38.2	36.6
Mn	47.5	41.8	31.9	17.1	50.4	48.1	128	126	102	6.28	7.41	8.01	2.42	1.94	0.48	3.99	3.61	3.57
Zn	2.11	1.47	2.23	1.84	3.39	3.31	1.89	1.86	1.91	2.2	2.35	2.6	483	559	598	196	168	186
B	2.6	2.28	2.35	1.81	4.78	3.75	3.99	3.86	3.66	7.95	8	7.77	4.51	4.27	3.41	5.06	4.87	3.21
NO3	12.2	2.72	1.77	0	0	0	0	0	0	2.52	0.48	0	26.2	22.1	14.7	18.7	17.2	23.8
NH4	0	3.42	2.85	0	2.85	2.67	0	3.2	2.43	7.69	7.16	5.89	2.23	1.88	0	0	6.07	6.64
Arc	43	37	39	31	49	37	51	49	49	19	19	21	45	3	3	7	9	7
L	42	44	40	44	28	32	29	39	41	11	8	12	22	14	14	36	8	6
Are	16	20	22	26	24	32	20	12	10	70	74	68	34	84	84	58	84	88
