ID	Localidad	ID1	pH	CO	NT	Ca	K	Mg	Na	Al	CICE	CE	P	S	Cu	Fe	Mn	Zn	B	NO3	NH4	Arc	L	Are
1	Cangrejos	1C	6.91	0.56	0.26	5.49	1.39	6.48	15.3	0	28.6	15.4	116	244	3.79	132	47.5	2.11	2.6	12.2	0	43	42	16
4	Cangrejos	1C	7.48	0.4	0.26	4.02	1.35	7.06	14.8	0	27.2	15.4	116	171	3.18	100	41.8	1.47	2.28	2.72	3.42	37	44	20
8	Cangrejos	1C	7.31	0.57	0.23	3.94	1.36	7.16	14.9	0	27.4	17.3	116	93.2	3.77	105	31.9	2.23	2.35	1.77	2.85	39	40	22
10	Cangrejos	2C	7.43	0.55	0.24	3.73	1.05	6.25	8.9	0	19.9	5.98	116	7.73	3.8	145	17.1	1.84	1.81	0	0	31	44	26
13	Cangrejos	2C	7.08	0.7	0.18	3.41	1.64	7.05	28.2	0	40.3	24.2	88	273	5.81	164	50.4	3.39	4.78	0	2.85	49	28	24
16	Cangrejos	2C	6.97	0.79	0.2	2.97	1.36	5.72	18.1	0	28.2	16.6	109	225	5.22	160	48.1	3.31	3.75	0	2.67	37	32	32
17	Cangrejos	3C	7.47	0.54	0.24	7.11	1.69	14	37	0	59.8	40.2	116	533	3.72	174	128	1.89	3.99	0	0	51	29	20
18	Cangrejos	3C	7.56	0.48	0.14	6.59	1.73	13.8	36.9	0	59	43.6	116	849	3.7	181	126	1.86	3.86	0	3.2	49	39	12
19	Cangrejos	3C	7.53	0.5	0.23	5.14	1.79	14	39.1	0	60	43.6	116	523	3.66	151	102	1.91	3.66	0	2.43	49	41	10
20	PN	4PN	7.13	2.13	0.25	7.14	1.97	19.8	73.6	0	102	152.2	43	1669	1.72	76.6	6.28	2.2	7.95	2.52	7.69	19	11	70
21	PN	4PN	7.09	2.36	0.26	8.44	2.07	23.1	83.9	0	118	133.6	39.3	1565	2.06	81.8	7.41	2.35	8	0.48	7.16	19	8	74
22	PN	4PN	7.08	2.77	0.25	9.17	2.18	24.2	88.2	0	124	149.6	41.7	1013	2.25	86.2	8.01	2.6	7.77	0	5.89	21	12	68
23	PN	5PN	8.23	1.51	0.12	12	0.73	5.59	22.2	0	40.5	54.8	12.4	228	0.25	54.4	2.42	483	4.51	26.2	2.23	45	22	34
24	PN	5PN	8.26	1.69	0.13	10	0.71	5.61	18	0	34.3	54	27.6	128	0.18	20	1.94	559	4.27	22.1	1.88	3	14	84
25	PN	5PN	8.36	1.35	0.17	9.67	0.6	5.43	19.6	0	35.3	55.6	10.8	230	0.16	1.47	0.48	598	3.41	14.7	0	3	14	84
26	PN	6PN	8.44	2.15	0.19	13.5	1.42	15.3	57.5	0	87.8	131.6	21.6	798	0.47	45.3	3.99	196	5.06	18.7	0	7	36	58
27	PN	6PN	8.46	1.76	0.14	14.2	1.45	13.4	52.9	0	81.9	130.4	24.1	862	0.41	38.2	3.61	168	4.87	17.2	6.07	9	8	84
28	PN	6PN	8.45	1.8	0.14	12	1.27	11.4	42.1	0	66.7	138.4	23.1	735	0.42	36.6	3.57	186	3.21	23.8	6.64	7	6	88
