ID	Mangroves	Points	Plant_rizosfera	Plant_cercana
1	Altered	Altered_1	A_germinans	Batis_marina
4	Altered	Altered_1	A_germinans	Batis_marina
8	Altered	Altered_1	A_germinans	Batis_marina
10	Altered	Altered_2	A_germinans	NA
13	Altered	Altered_2	A_germinans	NA
16	Altered	Altered_2	A_germinans	NA
17	Altered	Altered_3	A_germinans	NA
18	Altered	Altered_3	A_germinans	NA
19	Altered	Altered_3	A_germinans	NA
20	Conserved	Conserved_1	A_germinans	R_mangle
21	Conserved	Conserved_1	A_germinans	R_mangle
22	Conserved	Conserved_1	A_germinans	R_mangle
23	Conserved	Conserved_2	Laguncularia	NA
24	Conserved	Conserved_2	Laguncularia	NA
25	Conserved	Conserved_2	Laguncularia	NA
26	Conserved	Conserved_3	Laguncularia	Batis_marina
27	Conserved	Conserved_3	Laguncularia	Batis_marina
28	Conserved	Conserved_3	Laguncularia	Batis_marina
