ID	p-values	p-values (corrected)	Effect size	Note	Altered: mean rel. freq. (%)	Altered: std. dev. (%)	Conserved: mean rel. freq. (%)	Conserved: std. dev. (%)	1	1: parent seq. count	1: rel. freq. (%)	10	10: parent seq. count	10: rel. freq. (%)	13	13: parent seq. count	13: rel. freq. (%)	16	16: parent seq. count	16: rel. freq. (%)	17	17: parent seq. count	17: rel. freq. (%)	18	18: parent seq. count	18: rel. freq. (%)	19	19: parent seq. count	19: rel. freq. (%)	4	4: parent seq. count	4: rel. freq. (%)	8	8: parent seq. count	8: rel. freq. (%)	20	20: parent seq. count	20: rel. freq. (%)	21	21: parent seq. count	21: rel. freq. (%)	22	22: parent seq. count	22: rel. freq. (%)	23	23: parent seq. count	23: rel. freq. (%)	24	24: parent seq. count	24: rel. freq. (%)	25	25: parent seq. count	25: rel. freq. (%)	26	26: parent seq. count	26: rel. freq. (%)	27	27: parent seq. count	27: rel. freq. (%)	28	28: parent seq. count	28: rel. freq. (%)	
Mn	1.05422211898e-08	2.31928866175e-07	0.877511168332		6.98000563008	1.77279789581	0.256934898963	0.108734790452	47.5	741.59	6.40515648809	17.1	448.31	3.8143249091	50.4	805.99	6.25317931984	48.1	738.96	6.50914799177	128.0	1228.65	10.4179383877	126.0	1554.42	8.10591731964	102.0	1175.55	8.67678958785	41.8	620.84	6.73281360737	31.9	540.24	5.90478305938	6.28	2283.18	0.275054967195	7.41	2193.38	0.337834757315	8.01	1675.87	0.477960701009	2.42	1060.09	0.228282504316	1.94	998.67	0.194258363624	0.48	1096.1	0.0437916248517	3.99	1508.02	0.264585350327	3.61	1530.07	0.235936917919	3.57	1401.6	0.25470890411	
Fe	2.08578743281e-06	2.29436617609e-05	0.764559814949		18.4819054164	5.86785296634	3.06758267611	1.46698155773	132.0	741.59	17.7995927669	145.0	448.31	32.3436907497	164.0	805.99	20.3476469931	160.0	738.96	21.6520515319	174.0	1228.65	14.1618849957	181.0	1554.42	11.6442145623	151.0	1175.55	12.8450512526	100.0	620.84	16.107209587	105.0	540.24	19.4358063083	76.6	2283.18	3.35496982279	81.8	2193.38	3.72940393365	86.2	1675.87	5.14359705705	54.4	1060.09	5.13163976643	20.0	998.67	2.00266354251	1.47	1096.1	0.134111851108	45.3	1508.02	3.0039389398	38.2	1530.07	2.4966178018	36.6	1401.6	2.61130136986	
Arc	2.61825729745e-06	1.92005535146e-05	0.757887197061		5.3833187236	1.2831694046	1.03581537195	1.17152711163	43.0	741.59	5.79835218922	31.0	448.31	6.91485802235	49.0	805.99	6.07947989429	37.0	738.96	5.00703691675	51.0	1228.65	4.15089732633	49.0	1554.42	3.15230117986	49.0	1175.55	4.16826166475	37.0	620.84	5.95966754719	39.0	540.24	7.21901377166	19.0	2283.18	0.832172671449	19.0	2193.38	0.866242967475	21.0	1675.87	1.25308048954	45.0	1060.09	4.24492260091	3.0	998.67	0.300399531377	3.0	1096.1	0.273697655323	7.0	1508.02	0.464184825135	9.0	1530.07	0.588208382623	7.0	1401.6	0.499429223744	
CE	4.71248970314e-06	2.59186933673e-05	0.739770789509		2.68087978014	0.683554295824	7.16184303485	1.75052979252	15.4	741.59	2.07661915614	5.98	448.31	1.33389841851	24.2	805.99	3.00251864167	16.6	738.96	2.24640034643	40.2	1228.65	3.27188377487	43.6	1554.42	2.80490472331	43.6	1175.55	3.70890221598	15.4	620.84	2.4805102764	17.3	540.24	3.20228046794	152.2	2283.18	6.66614108393	133.6	2193.38	6.0910558134	149.6	1675.87	8.92670672546	54.8	1060.09	5.16937241178	54.0	998.67	5.40719156478	55.6	1096.1	5.07252987866	131.6	1508.02	8.72667471254	130.4	1530.07	8.52248589934	138.4	1401.6	9.87442922374	
Cu	6.11409307366e-06	2.69020095241e-05	0.731327613799		0.538681749876	0.205827376046	0.0497382018087	0.0393527245155	3.79	741.59	0.511064065049	3.8	448.31	0.847627757578	5.81	805.99	0.720852616037	5.22	738.96	0.706398181228	3.72	1228.65	0.302771334391	3.7	1554.42	0.238030905418	3.66	1175.55	0.311343626388	3.18	620.84	0.512209264867	3.77	540.24	0.697837997927	1.72	2283.18	0.075333526047	2.06	2193.38	0.0939189743683	2.25	1675.87	0.134258623879	0.25	1060.09	0.0235829033384	0.18	998.67	0.0180239718826	0.16	1096.1	0.0145972082839	0.47	1508.02	0.0311666954019	0.41	1530.07	0.0267961596528	0.42	1401.6	0.0299657534247	
P	9.38134685503e-06	3.43982718018e-05	0.716861648216		14.9015109895	5.81975055381	1.74862243829	0.543183424299	116.0	741.59	15.6420663709	116.0	448.31	25.8749525998	88.0	805.99	10.9182496061	109.0	738.96	14.7504601061	116.0	1228.65	9.44125666382	116.0	1554.42	7.46259054824	116.0	1175.55	9.86772149207	116.0	620.84	18.6843631209	116.0	540.24	21.4719383977	43.0	2283.18	1.88333815118	39.3	2193.38	1.79175519062	41.7	1675.87	2.48825982922	12.4	1060.09	1.16971200558	27.6	998.67	2.76367568867	10.8	1096.1	0.985311559164	21.6	1508.02	1.43234174613	24.1	1530.07	1.57509133569	23.1	1401.6	1.64811643836	
K	2.38778248556e-05	7.50445924035e-05	0.682621160258		0.186607585367	0.0434730502728	0.087219639526	0.0201601355977	1.39	741.59	0.187435105651	1.05	448.31	0.234212933015	1.64	805.99	0.203476469931	1.36	738.96	0.184042438021	1.69	1228.65	0.137549342775	1.73	1554.42	0.111295531452	1.79	1175.55	0.15226915061	1.35	620.84	0.217447329425	1.36	540.24	0.251739967422	1.97	2283.18	0.0862831664608	2.07	2193.38	0.0943748917196	2.18	1675.87	0.130081688914	0.73	1060.09	0.0688620777481	0.71	998.67	0.0710945557592	0.6	1096.1	0.0547395310647	1.42	1508.02	0.0941632073845	1.45	1530.07	0.0947669060893	1.27	1401.6	0.0906107305936	
L	0.000309522689412	0.000851187395882	0.567068959888		5.12564993661	2.40028055479	1.07279445363	0.713275710234	42.0	741.59	5.66350678947	44.0	448.31	9.81463719301	28.0	805.99	3.47398851102	32.0	738.96	4.33041030638	29.0	1228.65	2.36031416595	39.0	1554.42	2.50897440846	41.0	1175.55	3.48772914806	44.0	620.84	7.08717221828	40.0	540.24	7.40411668888	11.0	2283.18	0.481784178208	8.0	2193.38	0.364733881042	12.0	1675.87	0.716045994021	22.0	1060.09	2.07529549378	14.0	998.67	1.40186447976	14.0	1096.1	1.27725572484	36.0	1508.02	2.38723624355	8.0	1530.07	0.522851895665	6.0	1401.6	0.428082191781	
CO	0.000834193058903	0.00203913858843	0.512508115329		0.0754726946716	0.0306189279702	0.131891954808	0.0240075226725	0.56	741.59	0.0755134238595	0.55	448.31	0.122682964913	0.7	805.99	0.0868497127756	0.79	738.96	0.106907004439	0.54	1228.65	0.0439506775729	0.48	1554.42	0.0308796850272	0.5	1175.55	0.0425332822934	0.4	620.84	0.064428838348	0.57	540.24	0.105508662817	2.13	2283.18	0.0932909363257	2.36	2193.38	0.107596494907	2.77	1675.87	0.16528728362	1.51	1060.09	0.142440736164	1.69	998.67	0.169225069342	1.35	1096.1	0.123163944896	2.15	1508.02	0.142571053434	1.76	1530.07	0.115027417046	1.8	1401.6	0.128424657534	
NT	0.0017374123226	0.00382230710972	0.468148886326		0.030061107927	0.0133549349172	0.0121450613221	0.0019941630886	0.26	741.59	0.0350598039348	0.24	448.31	0.0535343846892	0.18	805.99	0.0223327832852	0.2	738.96	0.0270650644149	0.24	1228.65	0.0195336344769	0.14	1554.42	0.0090065747996	0.23	1175.55	0.019565309855	0.26	620.84	0.0418787449262	0.23	540.24	0.0425736709611	0.25	2283.18	0.0109496404138	0.26	2193.38	0.0118538511339	0.25	1675.87	0.0149176248754	0.12	1060.09	0.0113197936024	0.13	998.67	0.0130173130263	0.17	1096.1	0.0155095338017	0.19	1508.02	0.0125993023965	0.14	1530.07	0.00914990817414	0.14	1401.6	0.00998858447489	
pH	0.0132192837166	0.0264385674332	0.326639594663		0.96706328755	0.358752203476	0.571069134619	0.181462024728	6.91	741.59	0.931781712267	7.43	448.31	1.657335326	7.08	805.99	0.878422809216	6.97	738.96	0.943217494858	7.47	1228.65	0.607984373092	7.56	1554.42	0.486355039179	7.53	1175.55	0.640551231339	7.48	620.84	1.20481927711	7.31	540.24	1.35310232489	7.13	2283.18	0.312283744602	7.09	2193.38	0.323245402074	7.08	1675.87	0.422467136472	8.23	1060.09	0.7763491779	8.26	998.67	0.827100043057	8.36	1096.1	0.762704132835	8.44	1508.02	0.559674274877	8.46	1530.07	0.552915879666	8.45	1401.6	0.602882420091	
Zn	0.0160853681575	0.029489841622	0.311478566761		0.294333379967	0.123868511534	21.5222149771	22.3166815999	2.11	741.59	0.284523793471	1.84	448.31	0.410430282617	3.39	805.99	0.42060075187	3.31	738.96	0.447926816066	1.89	1228.65	0.153827371505	1.86	1554.42	0.11965877948	1.91	1175.55	0.162477138361	1.47	620.84	0.236775980929	2.23	540.24	0.412779505405	2.2	2283.18	0.0963568356415	2.35	2193.38	0.107140577556	2.6	1675.87	0.155143298705	483.0	1060.09	45.5621692498	559.0	998.67	55.9744460132	598.0	1096.1	54.5570659611	196.0	1508.02	12.9971751038	168.0	1530.07	10.979889809	186.0	1401.6	13.2705479452	
Are	0.0244235492403	0.0413321602529	0.278393061269		2.86770735807	1.59253935826	5.04376270193	1.89756753526	16.0	741.59	2.15752639599	26.0	448.31	5.79955834133	24.0	805.99	2.97770443802	32.0	738.96	4.33041030638	20.0	1228.65	1.62780287307	12.0	1554.42	0.77199212568	10.0	1175.55	0.850665645868	20.0	620.84	3.2214419174	22.0	540.24	4.07226417888	70.0	2283.18	3.06589931587	74.0	2193.38	3.37378839964	68.0	1675.87	4.05759396612	34.0	1060.09	3.20727485402	84.0	998.67	8.41118687855	84.0	1096.1	7.66353434906	58.0	1508.02	3.84610283683	84.0	1530.07	5.48994490448	88.0	1401.6	6.27853881279	
NO3	0.0277877745245	0.0436665028243	0.267954156541		0.267873571243	0.512063577744	1.13555932715	0.875337717313	12.2	741.59	1.64511387694	0.0	448.31	0.0	0.0	805.99	0.0	0.0	738.96	0.0	0.0	1228.65	0.0	0.0	1554.42	0.0	0.0	1175.55	0.0	2.72	620.84	0.438116100767	1.77	540.24	0.327632163483	2.52	2283.18	0.110372375371	0.48	2193.38	0.0218840328625	0.0	1675.87	0.0	26.2	1060.09	2.47148826986	22.1	998.67	2.21294321448	14.7	1096.1	1.34111851108	18.7	1508.02	1.24003660429	17.2	1530.07	1.12413157568	23.8	1401.6	1.69805936073	
