Phylum	p-values	p-values (corrected)	Effect size	Note	Altered: mean rel. freq. (%)	Altered: std. dev. (%)	Conserved: mean rel. freq. (%)	Conserved: std. dev. (%)	1	1: parent seq. count	1: rel. freq. (%)	10	10: parent seq. count	10: rel. freq. (%)	13	13: parent seq. count	13: rel. freq. (%)	16	16: parent seq. count	16: rel. freq. (%)	17	17: parent seq. count	17: rel. freq. (%)	18	18: parent seq. count	18: rel. freq. (%)	19	19: parent seq. count	19: rel. freq. (%)	4	4: parent seq. count	4: rel. freq. (%)	8	8: parent seq. count	8: rel. freq. (%)	20	20: parent seq. count	20: rel. freq. (%)	21	21: parent seq. count	21: rel. freq. (%)	22	22: parent seq. count	22: rel. freq. (%)	23	23: parent seq. count	23: rel. freq. (%)	24	24: parent seq. count	24: rel. freq. (%)	25	25: parent seq. count	25: rel. freq. (%)	26	26: parent seq. count	26: rel. freq. (%)	27	27: parent seq. count	27: rel. freq. (%)	28	28: parent seq. count	28: rel. freq. (%)	
Chloroflexi	9.07313323069e-07	3.08486529843e-05	0.787486730443		22.0711379257	4.7081532618	8.4962573124	1.6425851591	3307.232516	18637.7764505	17.744780472	4313.79822	19140.9495555	22.5370126362	3399.441341	20983.2402237	16.2007454747	5573.94844	21071.9131618	26.4520283336	4575.427683	19792.6386736	23.1168150869	3818.094782	15171.8525604	25.1656464944	4910.194175	17710.5582522	27.7246719448	2151.012891	15643.9533441	13.7498037976	3979.961832	15337.7862592	25.9487370912	1199.000833	11944.6294758	10.0379910103	1097.809077	11480.4381846	9.56243184582	1043.938161	10491.4564691	9.95036450921	965.9798754	15320.0766642	6.30532011408	1101.258894	16659.0038305	6.61059271733	905.377456	15639.0899681	5.7891952655	976.5277216	10725.2124654	9.10497320913	1143.545994	11456.6023733	9.98154563402	1109.813937	12163.8088296	9.12390150611	
TM6	3.53613087149e-06	6.01142248153e-05	0.748782957062		0.00297717283794	0.00586932282401	0.0510155147634	0.0187793852564	0.0	18637.7764505	0.0	0.0	19140.9495555	0.0	0.931098696	20983.2402237	0.00443734469068	0.0	21071.9131618	0.0	0.0	19792.6386736	0.0	2.87218765	15171.8525604	0.0189310279583	0.606796117	17710.5582522	0.00342618289249	0.0	15643.9533441	0.0	0.0	15337.7862592	0.0	3.746877602	11944.6294758	0.0313687218979	4.694835681	11480.4381846	0.0408942202861	2.44100895	10491.4564691	0.0232666356401	7.666506948	15320.0766642	0.0500422231301	12.04159825	16659.0038305	0.0722828229858	12.40951396	15639.0899681	0.0793493354493	3.642250101	10725.2124654	0.0339597011503	7.789317507	11456.6023733	0.0679897691583	7.296607078	12163.8088296	0.0599862031724	
Parcubacteria	0.000147191119345	0.00166816601924	0.604171340051		0.143940330384	0.0888406998209	0.511580227538	0.190742548355	26.30005977	18637.7764505	0.141111574333	28.93175074	19140.9495555	0.151151073546	49.34823091	20983.2402237	0.235179268711	16.96065129	21071.9131618	0.0804893754058	3.110419907	19792.6386736	0.0157150340503	13.40354236	15171.8525604	0.0883447970949	51.5776699	17710.5582522	0.291225545608	37.44628607	15643.9533441	0.239365876683	8.110687023	15337.7862592	0.0528804280224	84.51290591	11944.6294758	0.70753894946	79.81220657	11480.4381846	0.695201744802	54.51586656	10491.4564691	0.51962152939	31.62434116	15320.0766642	0.206424170409	49.80842912	16659.0038305	0.298988040502	41.88210962	15639.0899681	0.267804007173	59.08539053	10725.2124654	0.550901818686	77.89317507	11456.6023733	0.679897691583	82.45165998	12163.8088296	0.677844095837	
Acetothermia	0.000328178242929	0.0027895150649	0.564012867062		0.000291019149172	0.000823126455339	0.0114339705864	0.00687844081151	0.0	18637.7764505	0.0	0.0	19140.9495555	0.0	0.0	20983.2402237	0.0	0.0	21071.9131618	0.0	0.518403318	19792.6386736	0.00261917234255	0.0	15171.8525604	0.0	0.0	17710.5582522	0.0	0.0	15643.9533441	0.0	0.0	15337.7862592	0.0	0.832639467	11944.6294758	0.0069708270875	0.782472613	11480.4381846	0.00681570337666	2.034174125	10491.4564691	0.0193888630334	2.395783421	15320.0766642	0.0156381947265	0.547345375	16659.0038305	0.00328558286299	1.034126163	15639.0899681	0.00661244461864	0.404694456	10725.2124654	0.00377330013092	2.225519288	11456.6023733	0.0194256483334	2.553812477	12163.8088296	0.0209951711079	
Nitrospirae	0.000352238908266	0.00239522457621	0.560291346066		3.49790310449	1.83978741416	0.503091734486	0.36675978311	783.6222355	18637.7764505	4.20448349932	1227.744807	19140.9495555	6.4142314541	783.0540037	20983.2402237	3.73180688659	1339.891452	21071.9131618	6.35866065749	374.8055988	19792.6386736	1.89366160309	211.1057922	15171.8525604	1.39143055444	266.9902913	17710.5582522	1.50752047168	613.2596685	15643.9533441	3.92010673397	315.8396947	15337.7862592	2.05922607972	27.47710241	11944.6294758	0.230037293879	50.46948357	11480.4381846	0.439612868069	28.88527258	10491.4564691	0.275321855122	42.16578821	15320.0766642	0.27523222719	18.06239737	16659.0038305	0.108424234449	154.0847983	15639.0899681	0.985254248261	112.9097531	10725.2124654	1.05275073537	112.7596439	11456.6023733	0.984232848674	21.52499088	12163.8088296	0.176959299358	
Saccharibacteria	0.00147004409674	0.00833024988152	0.478560767969		0.0237173435963	0.0128878264728	0.376852228544	0.2603319074	4.184100418	18637.7764505	0.0224495686442	3.709198813	19140.9495555	0.0193783427633	1.862197393	20983.2402237	0.00887468938612	6.105834464	21071.9131618	0.0289761751442	5.184033178	19792.6386736	0.0261917234154	0.0	15171.8525604	0.0	4.247572816	17710.5582522	0.0239832802305	6.752608963	15643.9533441	0.0431643384155	6.202290076	15337.7862592	0.0404379743674	24.97918401	11944.6294758	0.209124812625	37.94992175	11480.4381846	0.330561613938	27.25793328	10491.4564691	0.259810764695	23.95783421	15320.0766642	0.156381947265	16.96770662	16659.0038305	0.101853068723	145.811789	15639.0899681	0.932354691337	23.87697289	10725.2124654	0.222624707594	56.37982196	11456.6023733	0.492116424424	83.54615104	12163.8088296	0.686842026299	
Gracilibacteria	0.00206495988885	0.0100298051744	0.457192825634		0.00428886030814	0.0060721207599	0.135738286702	0.101096198678	1.793185894	18637.7764505	0.00962124370771	0.741839763	19140.9495555	0.00387566855474	0.0	20983.2402237	0.0	1.356852103	21071.9131618	0.00643915003152	0.0	19792.6386736	0.0	0.0	15171.8525604	0.0	0.0	17710.5582522	0.0	0.0	15643.9533441	0.0	2.86259542	15337.7862592	0.0186636804793	11.65695254	11944.6294758	0.0975915792417	12.12832551	11480.4381846	0.105643402412	27.6647681	10491.4564691	0.263688537254	5.270723527	15320.0766642	0.0344040284036	3.831417625	16659.0038305	0.0229990800409	6.20475698	15639.0899681	0.0396746677246	20.63941724	10725.2124654	0.192438306528	37.83382789	11456.6023733	0.330236021616	16.41736592	12163.8088296	0.134968957093	
JL-ETNP-Z39	0.00296616531417	0.0126062025852	0.433569658686		0.104388010971	0.0821344710442	0.00261438158263	0.0044574508081	28.6909743	18637.7764505	0.153939899302	8.160237389	19140.9495555	0.0426323540813	0.0	20983.2402237	0.0	10.17639077	21071.9131618	0.0482936252245	55.469155	19792.6386736	0.280251440522	24.41359502	15171.8525604	0.160913737613	21.84466019	17710.5582522	0.123342584005	4.297114794	15643.9533441	0.0274682153513	15.74427481	15337.7862592	0.102650242636	0.0	11944.6294758	0.0	1.564945227	11480.4381846	0.013631406762	0.0	10491.4564691	0.0	0.0	15320.0766642	0.0	0.547345375	16659.0038305	0.00328558286299	1.034126163	15639.0899681	0.00661244461864	0.0	10725.2124654	0.0	0.0	11456.6023733	0.0	0.0	12163.8088296	0.0	
Planctomycetes	0.00324670884899	0.0122653445406	0.427536490021		2.03978685069	0.403169955892	2.9673306118	0.642994554211	393.903168	18637.7764505	2.1134665342	367.9525223	19140.9495555	1.92233160238	222.5325885	20983.2402237	1.06052538181	369.7421981	21071.9131618	1.75466838374	465.5261794	19792.6386736	2.35201676278	371.9483006	15171.8525604	2.45156812011	379.2475728	17710.5582522	2.14136430597	367.7102517	15643.9533441	2.35049442818	339.2175573	15337.7862592	2.21164613699	251.0407993	11944.6294758	2.10170436688	261.3458529	11480.4381846	2.27644492918	257.5264443	10491.4564691	2.45463006074	543.8428366	15320.0766642	3.54987020314	690.2025178	16659.0038305	4.14311998978	527.9214064	15639.0899681	3.37565297902	347.227843	10725.2124654	3.23749151002	355.3412463	11456.6023733	3.10162851709	299.8905509	12163.8088296	2.46543295034	
Deferribacteres	0.00409376877053	0.0139188138198	0.41180556148		0.0531752845975	0.0791624280215	0.308400757398	0.200634154493	3.586371787	18637.7764505	0.0192424874101	51.18694362	19140.9495555	0.267421130136	4.655493482	20983.2402237	0.0221867234629	16.96065129	21071.9131618	0.0804893754058	5.184033178	19792.6386736	0.0261917234154	0.957395883	15171.8525604	0.00631034265058	0.606796117	17710.5582522	0.00342618289249	7.366482505	15643.9533441	0.04708836918	0.954198473	15337.7862592	0.00622122682425	80.34970858	11944.6294758	0.672684814065	44.60093897	11480.4381846	0.388495092722	56.14320586	10491.4564691	0.535132619817	9.583133685	15320.0766642	0.0625527789127	7.115489874	16659.0038305	0.0427125772129	40.84798345	15639.0899681	0.26119156251	42.49291785	10725.2124654	0.396196513467	32.27002967	11456.6023733	0.281671900783	16.41736592	12163.8088296	0.134968957093	
