Genero	Groups	Anaerolineaceae_unclassified	Bacillales_unclassified	BD2-11_terrestrial_group_unclassified	Blastopirellula	Bythopirellula	Candidatus_Thiobios	Chloroflexi_unclassified	Chthoniobacterales_unclassified	Clostridium_sensu_stricto	Crossiella	Cystobacteraceae_unclassified	Deferrisoma	Desulfobulbaceae_unclassified	Dichotomicrobium	E01-9C-26_marine_group_unclassified	Erythrobacteraceae_unclassified	Halobacillus	Hyphomicrobiaceae_unclassified	JTB255_marine_benthic_group_unclassified	KIST-JJY010_unclassified	LD1-PA34_unclassified	LD1-PB3_unclassified	Methyloceanibacter	Mycobacteriaceae_unclassified	Nitrolancea	Nitrosococcus	Oceanobacillus	Oligoflexales_unclassified	OM1_clade_unclassified	P3OB-42_unclassified	Paenibacillus	PAUC26f_unclassified	Peptostreptococcaceae_unclassified	Phycisphaerae_unclassified	Pir4_lineage	Pontibacillus	Portibacter	Rhodomicrobium	Rhodopirellula	Saccharibacteria_unclassified	Salinibacter	Subgroup_17_unclassified	Subgroup_22_unclassified	Subgroup_26_unclassified	Subgroup_6_unclassified	Sva0071_unclassified	Sva0081_sediment_group	Sva0725_unclassified	Sva0996_marine_group_unclassified	Thermoactinomycetaceae_unclassified	TM6_unclassified	Tumebacillus	Urania-1B-19_marine_sediment_group	vadinHA49_unclassified	Vampirovibrionales_unclassified
1	Altered_Mangrove_1	573.819486	0.597728631	724.447101	1.195457262	1.195457262	1.195457262	188.2845188	0	5.379557681	0	0	25.70233114	35.86371787	1.793185894	0	123.132098	7.172743574	23.90914525	36.4614465	0	0	0	81.88882247	0	0	62.76150628	0	0	1915.720263	0	1.195457262	16.73640167	0	0	47.22056186	1.195457262	0	4.184100418	1.195457262	4.184100418	0.597728631	15.54094441	2.988643156	5.379557681	16.13867304	47.22056186	1.195457262	0	22.11595935	0	0	0	35.26598924	0	0
4	Altered_Mangrove_1	402.08717	0.613873542	465.3161449	1.841620626	0.613873542	0.613873542	62.00122775	0	1.227747084	0.613873542	0	33.76304481	23.3271946	1.227747084	0	71.20933088	4.297114794	20.87170043	42.3572744	0	0	0	42.3572744	0	0	66.29834254	0	0	1303.867403	1.841620626	0.613873542	13.50521793	0	0	33.76304481	2.455494168	0	1.227747084	1.841620626	6.752608963	0	12.89134438	3.683241252	1.227747084	15.34683855	27.01043585	20.87170043	0	9.208103131	0	0	0	16.57458564	0	1.841620626
8	Altered_Mangrove_1	883.110687	2.385496183	296.278626	3.339694656	0.477099237	0	286.7366412	0	3.339694656	0.954198473	0	33.39694656	13.83587786	0.477099237	0	67.27099237	33.39694656	23.85496183	42.46183206	0	0	0	119.7519084	0	0	1.908396947	0.477099237	0	914.1221374	0	0.954198473	18.60687023	0	0	28.6259542	4.29389313	0	5.72519084	0.477099237	6.202290076	0	11.45038168	3.339694656	6.679389313	8.58778626	54.38931298	1.908396947	0	19.08396947	0	0	0	11.45038168	0	0
10	Altered_Mangrove_2	1129.821958	0.741839763	317.5074184	0	0	0.741839763	188.4272997	0	0	0	0	45.25222552	34.12462908	0	0	63.05637982	8.160237389	5.934718101	10.38575668	0	0	0	332.3442136	0	0	2.96735905	0	0	194.3620178	0.741839763	0	11.12759644	0	0	12.61127596	2.225519288	0	8.160237389	2.225519288	3.709198813	0	5.934718101	0.741839763	0	0	172.8486647	52.67062315	0	8.902077151	0	0	0	3.709198813	0	0
13	Altered_Mangrove_2	1781.191806	0.931098696	748.603352	0	0.931098696	0	160.1489758	0	0	0	0	46.55493482	19.55307263	0.931098696	0	81.93668529	16.75977654	78.2122905	1.862197393	0	0	0	23.27746741	0	0	3.724394786	0	0	45.62383613	0	0.931098696	4.655493482	0.931098696	0	24.20856611	0.931098696	0	0.931098696	1.862197393	1.862197393	0	3.724394786	0	1.862197393	0.931098696	27.0018622	12.10428305	0	3.724394786	0	0.931098696	0	0.931098696	0	0
16	Altered_Mangrove_2	2178.426052	0	527.8154681	0.678426052	0	0	261.1940299	0	1.356852103	0.678426052	0	69.19945726	20.35278155	0	0	65.12890095	9.497964722	12.21166893	9.497964722	0	0	0	376.5264586	0	0	2.713704206	0	0	989.8236092	0.678426052	3.392130258	1.356852103	0	0	29.17232022	16.96065129	0	43.4192673	4.070556309	6.105834464	0	13.56852103	2.713704206	6.105834464	2.035278155	10.17639077	27.81546811	0	6.105834464	0	0	0	33.24287653	0	0.678426052
17	Altered_Mangrove_3	1040.953862	3.628823224	926.9051322	2.073613271	0	0	217.7293935	0	2.073613271	0	0	21.77293935	5.184033178	1.036806636	0	30.06739243	40.9538621	6.220839813	30.06739243	0.518403318	0	0	100.0518403	0	0	15.55209953	0	0	1175.738725	3.628823224	3.110419907	33.17781234	0	0	71.53965785	10.36806636	0	9.849663038	1.555209953	5.184033178	0	30.58579575	6.739243131	9.849663038	6.739243131	94.86780715	5.702436496	0	20.21772939	0	0	5.702436496	20.73613271	0	0
18	Altered_Mangrove_3	886.0698899	0.957395883	616.5629488	1.914791766	0	0	221.637147	0	0.957395883	9.09526089	0	34.94494974	8.616562949	2.393489708	0	18.19052178	19.62661561	3.829583533	12.92484442	0	0	0	74.19818095	0	0	4.308281474	0	0	484.4423169	4.308281474	0.957395883	12.92484442	0	0	32.55146003	3.350885591	0	0	3.350885591	0	0	2.87218765	8.137865007	2.393489708	4.786979416	28.24317855	10.53135472	0	15.79703207	0	2.87218765	1.914791766	11.01005266	0	0.957395883
19	Altered_Mangrove_3	1167.475728	3.033980583	691.7475728	1.213592233	0	0	249.3932039	0	1.213592233	2.427184466	0	66.1407767	6.067961165	1.213592233	0	49.75728155	40.04854369	2.427184466	1.213592233	0	0	0	98.90776699	0	0	0.606796117	0	0	307.6456311	3.640776699	3.640776699	7.888349515	0.606796117	0	39.44174757	2.427184466	0	0	2.427184466	4.247572816	0	0.606796117	7.281553398	1.82038835	1.82038835	5.461165049	11.52912621	0	3.033980583	0	0.606796117	1.213592233	9.101941748	0	2.427184466
20	Conserved_Mangrove_1	297.6686095	0.832639467	346.7943381	8.326394671	8.326394671	2.081598668	29.55870108	0	3.330557868	1.665278934	0	0	25.39550375	26.22814321	0	33.72189842	19.98334721	46.21149042	20.39966694	0	0	0	133.2223147	0.416319734	0.416319734	6.661115737	0	0	676.519567	6.661115737	2.497918401	9.991673605	0	0	46.21149042	14.15487094	8.326394671	4.995836803	3.330557868	24.97918401	0.416319734	19.98334721	1.248959201	7.910074938	6.244796003	216.0699417	47.46044963	0	19.56702748	0.416319734	3.746877602	0	34.97085762	4.163197336	0
21	Conserved_Mangrove_1	226.5258216	0.782472613	308.685446	12.91079812	13.69327074	1.564945227	19.95305164	0	3.912363067	1.956181534	0	0	48.51330203	55.55555556	0.391236307	25.82159624	15.25821596	71.98748044	47.73082942	0.391236307	0	0	201.0954617	1.17370892	0.391236307	19.95305164	0.391236307	0	1002.738654	3.521126761	0.391236307	12.12832551	1.956181534	1.564945227	55.16431925	9.389671362	3.912363067	2.34741784	4.694835681	37.94992175	1.564945227	21.12676056	3.912363067	21.51799687	8.215962441	328.6384977	65.72769953	0	36.38497653	1.564945227	4.694835681	1.17370892	33.64632238	4.694835681	0.782472613
22	Conserved_Mangrove_1	255.899105	0.406834825	408.8689992	8.543531326	4.882017901	0.81366965	21.1554109	0	2.034174125	1.6273393	0	0	10.17087063	39.05614321	0.406834825	26.85109845	19.12123678	54.51586656	20.34174125	0	0.406834825	0	135.8828316	0.81366965	1.220504475	8.543531326	0.406834825	0	624.4914565	2.44100895	0.406834825	10.57770545	0.406834825	0.406834825	46.78600488	14.23921888	17.49389748	10.17087063	4.475183076	27.25793328	0.406834825	15.86655818	2.034174125	13.42554923	10.57770545	224.9796583	58.17737998	0	16.68022783	0.406834825	2.44100895	0.406834825	38.24247356	1.6273393	0
23	Conserved_Mangrove_2	72.831816	8.624820316	184.4753234	27.311931	43.60325827	0.479156684	5.270723527	5.749880211	10.54144705	15.3330139	3.833253474	0	53.18639195	64.68615237	4.791566842	21.08289411	107.810254	142.7886919	150.4551989	8.145663632	3.35409679	3.35409679	734.5471969	6.708193579	2.874940105	35.45759463	0.958313368	4.312410158	3207.954001	3.833253474	1.916626737	14.37470053	15.81217058	0.479156684	191.6626737	43.60325827	15.3330139	29.70771442	13.89554384	23.95783421	11.49976042	74.74844274	6.708193579	20.60373742	20.12458074	273.5984667	186.8711069	8.624820316	125.5390513	3.35409679	7.666506948	6.708193579	63.727839	2.874940105	4.312410158
24	Conserved_Mangrove_2	35.030104	25.17788725	213.4646962	31.74603175	59.11330049	2.1893815	0	8.210180624	4.378762999	18.60974275	2.736726875	0	120.9633279	92.50136836	4.926108374	9.852216749	114.9425287	44.33497537	139.0257252	4.926108374	2.736726875	4.378762999	772.304324	7.115489874	3.831417625	21.34646962	12.04159825	2.1893815	3882.86809	9.852216749	12.04159825	19.7044335	16.42036125	3.831417625	227.1483306	23.53585112	21.34646962	40.50355774	34.48275862	16.96770662	10.9469075	59.11330049	14.23097975	23.53585112	32.29337712	417.0771757	154.3513957	2.736726875	156.5407772	7.662835249	12.04159825	20.79912425	79.36507937	6.020799124	6.568144499
25	Conserved_Mangrove_2	88.41778697	13.44364012	266.8045502	9.824198552	25.336091	4.653567735	9.307135471	7.238883144	8.273009307	1.034126163	2.068252327	0	12.40951396	45.50155119	2.068252327	0.517063082	104.4467425	108.5832472	252.3267839	6.20475698	2.585315408	3.619441572	1079.110651	1.551189245	1.034126163	132.885212	1.034126163	0.517063082	2785.418821	10.85832472	4.136504654	26.37021717	9.824198552	2.068252327	157.1871768	40.84798345	3.619441572	103.4126163	22.23371251	145.811789	3.10237849	108.5832472	5.687693899	11.89245088	14.47776629	405.8945191	400.7238883	5.170630817	98.7590486	3.10237849	12.40951396	4.136504654	81.17890383	8.273009307	6.721820062
26	Conserved_Mangrove_3	136.786726	6.475111291	259.8138406	10.52205585	15.37838932	4.046944557	13.35491704	0	11.33144476	8.498583569	0.404694456	0.404694456	40.87414002	70.01214083	0	5.66572238	60.70416835	60.70416835	117.3613921	2.428166734	1.618777823	0.404694456	156.6167544	1.214083367	1.214083367	91.86564144	1.214083367	0	1223.39134	5.66572238	2.83286119	25.09105625	3.237555645	2.023472278	70.41683529	19.83002833	23.06758397	4.856333468	4.046944557	23.87697289	6.475111291	16.59247268	9.712666936	19.02063942	8.093889114	313.2335087	105.2205585	1.618777823	66.77458519	2.83286119	3.642250101	4.046944557	73.65439093	17.80655605	2.023472278
27	Conserved_Mangrove_3	96.43916914	5.56379822	278.189911	8.160237389	12.61127596	2.96735905	14.46587537	0	8.902077151	4.080118694	0	0	61.5727003	86.05341246	0	16.32047478	55.6379822	101.2611276	138.7240356	6.305637982	0.741839763	2.225519288	215.504451	2.596439169	2.225519288	84.94065282	1.854599407	0	1412.833828	2.225519288	2.596439169	29.30267062	0.370919881	3.709198813	80.11869436	21.51335312	11.49851632	25.22255193	2.225519288	56.37982196	9.643916914	21.884273	15.57863501	23.36795252	15.9495549	286.7210682	186.2017804	1.483679525	75.29673591	2.225519288	7.789317507	0.370919881	82.34421365	10.75667656	3.709198813
