ID	Punto	ID_ref	Sample	pH	CE	CO	NT	Ca	K	Mg	Na	CICE	P	S	Cu	Fe	Mn	Zn	B	Arcilla	Limo	Arena	NO3	NH4	Plant_rizosfera	Plant_cercana	groups	groups2
1	1	VC1A	VC	6.91	15.4	0.56	0.26	5.49	1.39	6.48	15.3	28.6	120	244	3.79	132	47.5	2.11	2.6	43	42	16	12.2	0	A_germinans	Batis_marina	VC1	VC
10	4	VC2A	VC	7.43	5.98	0.55	0.24	3.73	1.05	6.25	8.9	19.9	120	7.73	3.8	145	17.1	1.84	1.81	31	44	26	0	0	A_germinans	NA	VC2	VC
13	5	VC2B	VC	7.08	24.2	0.7	0.18	3.41	1.64	7.05	28.2	40.3	88	273	5.81	164	50.4	3.39	4.78	49	28	24	0	2.85	A_germinans	NA	VC2	VC
16	6	VC2C	VC	6.97	16.6	0.79	0.2	2.97	1.36	5.72	18.1	28.2	109	225	5.22	160	48.1	3.31	3.75	37	32	32	0	2.67	A_germinans	NA	VC2	VC
17	7	VC3A	VC	7.47	40.2	0.54	0.24	7.11	1.69	14	37	59.8	120	533	3.72	174	128	1.89	3.99	51	29	20	0	0	A_germinans	NA	VC3	VC
18	8	VC3B	VC	7.56	43.6	0.48	0.14	6.59	1.73	13.8	36.9	59	120	849	3.7	181	126	1.86	3.86	49	39	12	0	3.2	A_germinans	NA	VC3	VC
19	9	VC3C	VC	7.53	43.6	0.5	0.23	5.14	1.79	14	39.1	60	120	523	3.66	151	102	1.91	3.66	49	41	10	0	2.43	A_germinans	NA	VC3	VC
20	10	PNC1A	PC	7.13	152.2	2.13	0.25	7.14	1.97	19.8	73.6	102	43	1669	1.72	76.6	6.28	2.2	7.95	19	11	70	2.52	7.69	A_germinans	R_mangle	NP1	NP
21	11	PNC1B	PC	7.09	133.6	2.36	0.26	8.44	2.07	23.1	83.9	118	39.3	1565	2.06	81.8	7.41	2.35	8	19	8	74	0.48	7.16	A_germinans	R_mangle	NP1	NP
22	12	PNC1C	PC	7.08	149.6	2.77	0.25	9.17	2.18	24.2	88.2	124	41.7	1013	2.25	86.2	8.01	2.6	7.77	21	12	68	0	5.89	A_germinans	R_mangle	NP1	NP
23	13	PNC2A	PC	8.23	54.8	1.51	0.12	12	0.73	5.59	22.2	40.5	12.4	228	0.25	54.4	2.42	483	4.51	45	22	34	26.2	2.23	Laguncularia	NA	NP2	NP
24	14	PNC2B	PC	8.26	54	1.69	0.13	10	0.71	5.61	18	34.3	27.6	128	0.18	20	1.94	559	4.27	3	14	84	22.1	1.88	Laguncularia	NA	NP2	NP
25	15	PNC2C	PC	8.36	55.6	1.35	0.17	9.67	0.6	5.43	19.6	35.3	10.8	230	0.16	1.47	0.48	598	3.41	3	14	84	14.7	0	Laguncularia	NA	NP2	NP
26	16	PNC3A	PC	8.44	131.6	2.15	0.19	13.5	1.42	15.3	57.5	87.8	21.6	798	0.47	45.3	3.99	196	5.06	7	36	58	18.7	0	Laguncularia	Batis_marina	NP3	NP
27	17	PNC3B	PC	8.46	130.4	1.76	0.14	14.2	1.45	13.4	52.9	81.9	24.1	862	0.41	38.2	3.61	168	4.87	9	8	84	17.2	6.07	Laguncularia	Batis_marina	NP3	NP
28	18	PNC3C	PC	8.45	138.4	1.8	0.14	12	1.27	11.4	42.1	66.7	23.1	735	0.42	36.6	3.57	186	3.21	7	6	88	23.8	6.64	Laguncularia	Batis_marina	NP3	NP
4	2	VC1B	VC	7.48	15.4	0.4	0.26	4.02	1.35	7.06	14.8	27.2	120	171	3.18	100	41.8	1.47	2.28	37	44	20	2.72	3.42	A_germinans	Batis_marina	VC1	VC
8	3	VC1C	VC	7.31	17.3	0.57	0.23	3.94	1.36	7.16	14.9	27.4	120	93.2	3.77	105	31.9	2.23	2.35	39	40	22	1.77	2.85	A_germinans	Batis_marina	VC1	VC
