OTU	Size	Kingdom	Phylum	Class	Order	Family	Genus	bootstrap1	bootstrap2	bootstrap3	bootstrap4	bootstrap5	bootstrap6
Otu00001	35730	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	OM1_clade_unclassified	100	100	100	100	100	100
Otu00002	6253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloceanibacter	100	100	100	100	100	100
Otu00003	4395	Bacteria	Proteobacteria	Gammaproteobacteria	Sva0071	Sva0071_unclassified	Sva0071_unclassified	100	100	100	100	100	100
Otu00004	4162	Bacteria	Actinobacteria	Nitriliruptoria	Euzebyales	Euzebyaceae	Euzebya	100	100	100	100	100	100
Otu00005	3874	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospiraceae_unclassified	100	98	98	98	98	98
Otu00006	3724	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadales_unclassified	Desulfuromonadales_unclassified	100	100	100	100	78	78
Otu00007	3535	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	OM1_clade_unclassified	100	100	100	100	100	100
Otu00008	3486	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	OM1_clade_unclassified	100	100	100	100	100	100
Otu00009	3457	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloceanibacter	100	100	100	100	100	100
Otu00010	3102	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	100	100	100	100	100	100
Otu00011	2990	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae_unclassified	100	100	100	100	100	100
Otu00012	2893	Bacteria	Chloroflexi	TK10	TK10_unclassified	TK10_unclassified	TK10_unclassified	100	100	100	100	100	100
Otu00013	2880	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobia_unclassified	Thermomicrobia_unclassified	Thermomicrobia_unclassified	100	100	100	100	100	100
Otu00014	2867	Bacteria	Bacteroidetes	Cytophagia	Order_II	Rhodothermaceae	Rhodothermaceae_unclassified	100	100	100	100	100	100
Otu00015	2628	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	100	98	98	98	98	98
Otu00016	2597	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius	100	100	100	100	100	100
Otu00017	2570	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobia_unclassified	Thermomicrobia_unclassified	Thermomicrobia_unclassified	100	100	100	100	100	100
Otu00018	2539	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilineaceae_unclassified	100	100	100	100	100	100
